ID,x_cen,y_cen,Cluster
1228,35,248,3
1229,1275,288,5
1230,1682,243,2
1231,368,322,1
1232,630,279,0
1233,941,259,6
1234,38,249,3
1235,156,342,4
1236,205,313,4
1237,1682,244,2
1238,1275,288,5
1239,367,323,1
1240,629,280,0
1241,941,259,6
1242,36,249,3
1243,205,313,4
1244,1276,287,5
1245,1682,243,2
1246,365,322,1
1247,631,279,0
1248,941,259,6
1249,205,313,4
1250,36,248,3
1251,1277,287,5
1252,1682,243,2
1253,366,321,1
1254,630,279,0
1255,942,259,6
1256,205,312,4
1257,38,248,3
1258,1276,287,5
1259,363,321,1
1260,941,258,6
1261,630,278,0
1262,1682,243,2
1263,204,312,4
1264,36,247,3
1265,1277,287,5
1266,366,321,1
1267,1683,243,2
1268,632,278,0
1269,941,258,6
1270,204,312,4
1271,38,248,3
1272,1277,287,5
1273,367,322,1
1274,1683,243,2
1275,633,278,0
1276,941,258,6
1277,37,248,3
1278,205,312,4
1279,1275,287,5
1280,1682,243,2
1281,368,323,1
1282,941,258,6
1283,630,278,0
1284,204,313,4
1285,36,247,3
1286,1277,287,5
1287,368,321,1
1288,1682,243,2
1289,631,277,0
1290,941,258,6
1291,204,312,4
1292,38,248,3
1293,1277,287,5
1294,368,322,1
1295,1683,243,2
1296,632,278,0
1297,941,258,6
1298,205,313,4
1299,37,249,3
1300,1277,287,5
1301,1683,243,2
1302,368,324,1
1303,942,259,6
1304,38,249,3
1305,631,278,0
1306,206,313,4
1307,1277,287,5
1308,369,322,1
1309,1683,242,2
1310,631,278,0
1311,941,258,6
1312,38,249,3
1313,204,312,4
1314,1278,287,5
1315,369,322,1
1316,1683,243,2
1317,941,258,6
1318,629,278,0
1319,37,249,3
1320,205,314,4
1321,1277,287,5
1322,368,322,1
1323,1683,242,2
1324,631,278,0
1325,942,258,6
1326,205,312,4
1327,37,248,3
1328,1274,287,5
1329,1683,243,2
1330,368,324,1
1331,627,280,0
1332,941,259,6
1333,205,312,4
1334,37,247,3
1335,1277,287,5
1336,366,322,1
1337,631,277,0
1338,1683,243,2
1339,941,258,6
1340,205,312,4
1341,38,248,3
1342,1277,287,5
1343,1683,243,2
1344,368,322,1
1345,631,278,0
1346,941,258,6
1347,39,249,3
1348,204,313,4
1349,1277,287,5
1350,1683,243,2
1351,368,322,1
1352,632,277,0
1353,941,258,6
1354,38,248,3
1355,205,312,4
1356,1277,287,5
1357,1683,242,2
1358,356,322,1
1359,632,277,0
1360,941,258,6
1361,39,248,3
1362,205,312,4
1363,1277,287,5
1364,1683,242,2
1365,357,322,1
